,Buy,sell_q_0.90
0,4,197.0
1,5,251.9
2,6,244.8
3,7,220.2
4,8,264.1
5,9,256.79999999999995
6,10,235.4
7,11,231.0
8,12,217.0
9,13,201.40000000000003
10,14,187.9
11,15,171.0
12,16,185.0
13,17,183.8
14,18,161.9
15,19,168.0
16,20,160.0
17,21,140.8
18,22,141.0
19,23,134.60000000000002
20,24,140.3
21,25,125.40000000000003
22,26,123.1
23,27,127.0
24,28,119.60000000000002
25,29,109.1
26,30,109.0
27,31,100.0
28,32,100.0
29,33,95.6
30,34,104.0
31,35,88.19999999999999
32,36,90.9
33,37,87.0
34,38,84.0
35,39,83.1
36,40,78.0
37,41,73.80000000000001
38,42,76.10000000000001
39,43,73.10000000000001
40,44,75.20000000000002
41,45,71.0
42,46,64.0
43,47,70.0
44,48,66.4
45,49,64.3
46,50,66.40000000000003
47,51,66.4
48,52,65.5
49,53,59.0
50,54,57.8
51,55,57.20000000000002
52,56,53.0
53,57,57.0
54,58,59.400000000000006
55,59,58.20000000000002
56,60,51.3
57,61,51.8
58,62,55.5
59,63,49.8
60,64,51.0
61,65,50.0
62,66,51.0
63,67,51.7
64,68,45.1
65,69,49.0
66,70,50.0
67,71,48.0
68,72,51.5
69,73,47.2
70,74,50.0
71,75,46.300000000000004
72,76,44.0
73,77,44.6
74,78,46.0
75,79,46.0
76,80,40.0
77,81,43.300000000000004
78,82,42.0
79,83,38.0
80,84,45.199999999999996
81,85,39.0
82,86,43.0
83,87,43.800000000000004
84,88,41.4
85,89,42.400000000000006
86,90,40.199999999999996
87,91,38.10000000000001
88,92,38.1
89,93,40.2
90,94,33.4
91,95,38.5
92,96,40.4
93,97,38.4
94,98,38.0
95,99,44.4
96,100,38.0
97,101,43.5
98,102,37.1
99,103,32.5
100,104,37.0
101,105,38.800000000000004
102,106,34.6
103,107,42.0
104,108,35.0
105,109,35.0
106,110,34.6
107,111,32.0
108,112,38.900000000000006
109,113,35.6
110,114,33.400000000000006
111,115,38.5
112,116,30.7
113,117,32.39999999999999
114,118,29.0
115,119,31.8
116,120,31.6
117,121,35.4
118,122,37.400000000000006
119,123,34.2
120,124,32.0
121,125,32.400000000000006
122,126,28.2
123,127,33.6
124,128,30.0
125,129,30.4
126,130,28.800000000000004
127,131,26.699999999999996
128,132,29.5
129,133,25.8
130,134,35.5
131,135,30.0
132,136,31.0
133,137,31.8
134,138,23.0
135,139,28.2
136,140,35.0
137,141,31.0
138,142,31.0
139,143,37.4
140,144,31.5
141,145,29.400000000000002
142,146,27.0
143,147,29.0
144,148,26.400000000000002
145,149,27.200000000000003
146,150,32.4
147,151,31.700000000000003
148,152,23.6
149,153,33.4
150,154,30.8
151,155,16.9
152,156,31.6
153,157,31.8
154,158,34.5
155,159,23.6
156,160,30.7
157,161,28.6
158,162,25.2
159,163,27.2
160,164,29.5
161,165,26.0
162,166,24.6
163,167,28.800000000000004
164,168,30.200000000000003
165,169,27.799999999999997
166,170,25.0
167,171,22.0
168,172,29.0
169,173,26.0
170,174,25.7
171,175,24.300000000000004
172,176,26.29999999999999
173,178,22.0
174,179,21.299999999999997
175,180,22.0
176,181,28.0
177,182,22.5
178,183,30.6
179,184,25.5
180,185,21.8
181,186,38.0
182,187,21.5
183,188,28.7
184,189,23.5
185,190,26.5
186,191,23.8
187,192,23.4
188,193,27.0
189,194,20.0
190,195,15.0
191,196,23.9
192,197,21.800000000000004
193,198,23.4
194,199,24.5
195,200,25.0
196,201,23.4
197,202,10.0
198,203,29.200000000000003
199,204,24.2
200,205,22.400000000000002
201,206,19.0
202,207,13.8
203,208,23.400000000000002
204,209,19.0
205,210,24.0
206,211,26.299999999999997
207,212,20.6
208,213,21.8
209,214,21.8
210,215,18.8
211,217,16.9
212,225,13.0
213,226,25.8
214,227,14.0
215,229,20.5
216,230,12.0
217,231,20.8
218,232,15.4
219,233,21.0
220,234,14.4
221,235,13.0
222,236,18.400000000000002
223,238,18.8
224,239,15.0
225,241,23.0
226,242,30.200000000000003
227,244,19.0
228,245,15.0
229,246,29.0
230,249,17.0
231,250,19.0
232,251,20.0
233,254,21.7
234,258,15.0
235,259,20.0
236,263,11.0
237,268,10.0
238,279,13.0
239,281,13.0
240,290,14.0
241,312,12.0
242,329,10.0
